id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,angka_harapan_hidup,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,70.33,TAHUN,2010
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,69.47,TAHUN,2010
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,68.76,TAHUN,2010
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,72.93,TAHUN,2010
5,32,JAWA BARAT,3205,KABUPATEN GARUT,70.34,TAHUN,2010
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,67.54,TAHUN,2010
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,69.99,TAHUN,2010
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,72.04,TAHUN,2010
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,71.09,TAHUN,2010
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,68.22,TAHUN,2010
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,71.68,TAHUN,2010
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,69.99,TAHUN,2010
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,71.04,TAHUN,2010
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,69.87,TAHUN,2010
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,71.35,TAHUN,2010
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,72.93,TAHUN,2010
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,71.5,TAHUN,2010
18,32,JAWA BARAT,3271,KOTA BOGOR,72.54,TAHUN,2010
19,32,JAWA BARAT,3272,KOTA SUKABUMI,71.65,TAHUN,2010
20,32,JAWA BARAT,3273,KOTA BANDUNG,73.72,TAHUN,2010
21,32,JAWA BARAT,3274,KOTA CIREBON,71.62,TAHUN,2010
22,32,JAWA BARAT,3275,KOTA BEKASI,74.12,TAHUN,2010
23,32,JAWA BARAT,3276,KOTA DEPOK,73.83,TAHUN,2010
24,32,JAWA BARAT,3277,KOTA CIMAHI,73.53,TAHUN,2010
25,32,JAWA BARAT,3278,KOTA TASIKMALAYA,70.73,TAHUN,2010
26,32,JAWA BARAT,3279,KOTA BANJAR,69.93,TAHUN,2010
27,32,JAWA BARAT,3201,KABUPATEN BOGOR,70.39,TAHUN,2011
28,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,69.55,TAHUN,2011
29,32,JAWA BARAT,3203,KABUPATEN CIANJUR,68.86,TAHUN,2011
30,32,JAWA BARAT,3204,KABUPATEN BANDUNG,72.94,TAHUN,2011
