id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_bayi,jumlah_kematian,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,BAYI,104,ORANG,2019
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,ANAK BALITA,6,ORANG,2019
3,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BAYI,207,ORANG,2019
4,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,ANAK BALITA,23,ORANG,2019
5,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BAYI,84,ORANG,2019
6,32,JAWA BARAT,3203,KABUPATEN CIANJUR,ANAK BALITA,10,ORANG,2019
7,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BAYI,217,ORANG,2019
8,32,JAWA BARAT,3204,KABUPATEN BANDUNG,ANAK BALITA,11,ORANG,2019
9,32,JAWA BARAT,3205,KABUPATEN GARUT,BAYI,248,ORANG,2019
10,32,JAWA BARAT,3205,KABUPATEN GARUT,ANAK BALITA,2,ORANG,2019
11,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BAYI,182,ORANG,2019
12,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,ANAK BALITA,17,ORANG,2019
13,32,JAWA BARAT,3207,KABUPATEN CIAMIS,BAYI,98,ORANG,2019
14,32,JAWA BARAT,3207,KABUPATEN CIAMIS,ANAK BALITA,16,ORANG,2019
15,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,BAYI,69,ORANG,2019
16,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,ANAK BALITA,2,ORANG,2019
17,32,JAWA BARAT,3209,KABUPATEN CIREBON,BAYI,127,ORANG,2019
18,32,JAWA BARAT,3209,KABUPATEN CIREBON,ANAK BALITA,5,ORANG,2019
19,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,BAYI,77,ORANG,2019
20,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,ANAK BALITA,5,ORANG,2019
21,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,BAYI,134,ORANG,2019
22,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,ANAK BALITA,10,ORANG,2019
23,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,BAYI,246,ORANG,2019
24,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,ANAK BALITA,8,ORANG,2019
25,32,JAWA BARAT,3213,KABUPATEN SUBANG,BAYI,111,ORANG,2019
26,32,JAWA BARAT,3213,KABUPATEN SUBANG,ANAK BALITA,3,ORANG,2019
27,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,BAYI,77,ORANG,2019
28,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,ANAK BALITA,10,ORANG,2019
