no,nama_kabupaten_kota,luas_km2,persentase,kode_kabupaten_kota
1.,KABUPATEN BOGOR,2710.62,7.66,3201
2.,KABUPATEN SUKABUMI,4145.7,11.72,3202
3.,KABUPATEN CIANJUR,3840.16,10.85,3203
4.,KABUPATEN BANDUNG,1767.96,5.0,3204
5.,KABUPATEN GARUT,3074.07,8.69,3205
6.,KABUPATEN TASIKMALAYA,2551.19,7.21,3206
7.,KABUPATEN CIAMIS,1414.71,4.0,3207
8.,KABUPATEN KUNINGAN,1110.56,3.14,3208
9.,KABUPATEN CIREBON,984.52,2.78,3209
10.,KABUPATEN MAJALENGKA,1204.24,3.4,3210
11.,KABUPATEN SUMEDANG,1518.33,4.29,3211
12.,KABUPATEN INDRAMAYU,2040.11,5.77,3212
13.,KABUPATEN SUBANG,1893.95,5.35,3213
14.,KABUPATEN PURWAKARTA,825.74,2.33,3214
15.,KABUPATEN KARAWANG,1652.2,4.67,3215
16.,KABUPATEN BEKASI,1224.88,3.46,3216
17.,KABUPATEN BANDUNG BARAT,1305.77,3.69,3217
18.,KABUPATEN PANGANDARAN,1010.0,2.85,3218
1.,KOTA BOGOR,118.5,0.33,3271
2.,KOTA SUKABUMI,48.25,0.14,3272
3.,KOTA BANDUNG,167.67,0.47,3273
4.,KOTA CIREBON,37.36,0.11,3274
5.,KOTA BEKASI,206.61,0.58,3275
6.,KOTA DEPOK,200.29,0.57,3276
7.,KOTA CIMAHI,39.27,0.11,3277
8.,KOTA TASIKMALAYA,171.61,0.49,3278
9.,KOTA BANJAR,113.49,0.32,3279
